Product ID;Category;Sub-Category;Product Name
OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter
OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders
OFF-ST-10004186;Office Supplies;Storage;Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D
OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer
OFF-AR-10003056;Office Supplies;Art;Newell 341 Shop1
TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone New
OFF-BI-10002215;Office Supplies;Binders;Wilson Jones Hanging View Binder machine, White, 1"
OFF-AR-10000246;Office Supplies;Art;Newell 318
OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length
FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray
FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table Matt finish
OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use BindersOFF-LA-10000240
TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive 80 GB
FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish Brown
OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems
FUR-FU-10004848;Furniture;Furnishings;Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock Digital
OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes Plastic
OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain
OFF-BI-10001525;Office Supplies;Binders;Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red
OFF-AR-10001683;Office Supplies;Art;Lumber Crayons Original
OFF-PA-10000249;Office Supplies;Paper;Paper Stappler
TEC-PH-10004977;Technology;Phones;GE 30524EE4
FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Red
OFF-EN-10002986;Office Supplies;Envelopes;#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes
FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors
FUR-CH-10004218;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray
TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter
TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550
OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum
OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers
TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack
OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings
OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black
TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite
